time,SBERP,LKOH,GAZP,FIVE,YNDX,SMLT,SVAV,NVDA,VTBR,TRMK,GMKN,FEES,AFLT,FLOT
2022-01-31 07:00:00+00:00,255.53,6878.0,334.8,1745.0,3717.6,4502.8,209.5,,0.04378,75.26,21916.0,0.1444,57.32,72.24
2022-02-01 07:00:00+00:00,252.6,6976.0,330.95,1745.0,3724.0,4326.0,212.0,,0.042695,75.42,21948.0,0.1448,57.12,72.39
2022-02-02 07:00:00+00:00,249.12,7040.0,331.7,1742.0,3675.0,4445.0,211.0,,0.0424,75.7,21670.0,0.1423,57.2,70.51
2022-02-03 07:00:00+00:00,239.9,6865.5,323.75,1636.0,3517.0,4401.5,210.0,,0.041245,75.0,21392.0,0.14002,55.7,70.3
2022-02-04 07:00:00+00:00,245.0,7010.0,324.6,1655.5,3502.4,4504.0,210.5,,0.04125,76.9,21400.0,0.1403,56.18,68.92
2022-02-07 07:00:00+00:00,245.58,6988.0,321.25,1646.0,3468.0,4450.0,213.5,,0.0411,81.78,21580.0,0.13854,56.18,69.6
2022-02-08 07:00:00+00:00,255.68,6957.5,331.7,1714.0,3624.2,4496.5,217.5,,0.042205,81.72,22372.0,0.13934,57.18,70.5
2022-02-09 07:00:00+00:00,265.21,6973.5,335.08,1764.0,3763.0,4650.0,214.0,,0.04274,81.72,22674.0,0.14828,59.2,70.25
2022-02-10 07:00:00+00:00,261.0,6984.5,328.93,1781.5,3805.0,4786.0,214.5,,0.0419,85.34,22454.0,0.144,59.76,69.8
2022-02-11 07:00:00+00:00,250.86,6707.5,318.1,1695.0,3429.8,4693.5,212.5,,0.0405,82.26,21688.0,0.13794,58.3,68.8
2022-02-14 07:00:00+00:00,245.1,6796.0,321.85,1727.0,3471.4,4515.0,212.5,,0.040285,79.98,22082.0,0.13558,57.3,67.74
2022-02-15 07:00:00+00:00,258.88,6979.0,333.6,1795.0,3953.2,4557.0,214.0,,0.041885,81.32,22324.0,0.139,59.42,67.15
2022-02-16 07:00:00+00:00,262.49,6970.0,336.5,1873.5,4044.8,4550.5,215.0,,0.042925,82.54,22304.0,0.1412,60.42,68.52
2022-02-17 07:00:00+00:00,250.08,6733.0,323.51,1836.5,3772.6,4355.0,215.0,,0.041185,80.7,21774.0,0.13708,58.08,67.6
2022-02-18 07:00:00+00:00,240.0,6456.5,309.48,1773.5,3475.4,4419.0,210.5,,0.03929,77.0,21450.0,0.13274,55.7,66.1
2022-02-21 07:00:00+00:00,195.01,5810.0,257.3,1549.5,3065.8,4200.0,200.0,,0.03212,71.0,19252.0,0.11192,46.6,60.77
2022-02-22 07:00:00+00:00,204.3,6020.0,283.51,1720.0,3154.8,3880.0,211.0,,0.034215,73.84,21150.0,0.11754,49.52,58.61
2022-02-24 07:00:00+00:00,132.0,4650.0,210.0,1271.0,1990.0,2336.0,190.5,,0.0201,51.96,18200.0,0.08524,35.7,39.31
2022-02-25 07:00:00+00:00,131.3,4915.0,228.0,1179.0,1931.2,2597.5,194.5,,0.02011,60.54,19052.0,0.09308,36.74,45.37
2022-03-24 07:00:00+00:00,135.4,5525.0,258.51,1179.0,1931.2,2597.5,194.5,,0.019,60.54,20990.0,0.1098,30.7,45.37
2022-03-25 07:00:00+00:00,131.0,5206.0,227.0,1179.0,1931.2,2597.5,194.5,,0.0175,60.54,21070.0,0.10506,25.1,45.37
2022-03-28 07:00:00+00:00,126.94,5118.0,218.6,1179.0,1931.2,1930.0,184.5,,0.01685,55.0,20850.0,0.0975,25.86,38.34
2022-03-29 07:00:00+00:00,130.8,4922.0,208.0,1130.0,2020.0,2150.0,186.0,,0.0165,53.1,20028.0,0.0925,30.1,39.6
2022-03-30 07:00:00+00:00,135.5,5140.0,216.0,1274.5,2154.0,2436.0,198.5,,0.017155,60.52,20462.0,0.10356,37.54,43.19
2022-03-31 07:00:00+00:00,145.9,5680.0,242.48,1440.5,2259.0,3179.5,200.0,,0.0198,67.5,20974.0,0.11214,37.74,52.91
2022-04-01 07:00:00+00:00,159.0,5601.0,251.4,1451.0,2325.0,3149.5,202.0,,0.0225,69.58,21500.0,0.11458,38.8,58.57
2022-04-04 07:00:00+00:00,173.45,5557.0,252.9,1414.5,2285.0,2960.0,202.5,,0.0251,69.08,21750.0,0.1134,40.9,57.35
2022-04-05 07:00:00+00:00,159.99,5314.0,243.5,1300.0,2158.4,2760.0,198.0,,0.02308,64.66,20986.0,0.10868,37.76,54.0
2022-04-06 07:00:00+00:00,149.79,5266.0,239.7,1325.0,2070.8,2680.0,192.5,,0.02195,68.3,21150.0,0.109,37.18,52.78
2022-04-07 07:00:00+00:00,152.7,5280.0,245.0,1275.5,2130.0,2715.5,192.5,,0.02281,67.42,21050.0,0.1093,37.58,51.95
2022-04-08 07:00:00+00:00,148.99,5226.5,241.07,1257.0,2115.0,2660.5,195.5,,0.02236,69.0,21112.0,0.10704,36.94,51.03
2022-04-11 07:00:00+00:00,143.58,5190.0,234.55,1234.0,2097.0,2600.0,193.5,,0.0215,66.6,21006.0,0.10464,35.46,52.01
2022-04-12 07:00:00+00:00,139.5,5145.0,236.3,1187.0,2074.0,2412.0,191.0,,0.02111,66.2,20990.0,0.10446,34.06,52.04
2022-04-13 07:00:00+00:00,139.99,5106.0,234.87,1148.0,2088.0,2414.0,191.0,,0.021135,65.46,20794.0,0.1031,33.86,51.62
2022-04-14 07:00:00+00:00,133.0,4879.5,222.11,1094.0,1945.2,2250.0,189.0,,0.019935,64.64,20004.0,0.09974,32.74,50.02
2022-04-15 07:00:00+00:00,132.9,4893.0,224.0,1125.0,1979.6,2315.5,188.5,,0.020125,64.72,20240.0,0.0999,32.96,48.65
2022-04-18 07:00:00+00:00,128.55,4549.0,216.99,1132.0,1880.2,2202.0,188.5,,0.019025,63.68,19886.0,0.09834,31.32,48.86
2022-04-19 07:00:00+00:00,125.5,4485.0,220.72,1094.5,1857.6,2120.5,186.0,,0.018695,60.1,19676.0,0.0962,30.52,46.32
2022-04-20 07:00:00+00:00,125.05,4310.0,218.92,1135.0,1789.8,2232.0,184.0,,0.019295,60.06,20590.0,0.09602,32.5,45.2
2022-04-21 07:00:00+00:00,123.12,3974.0,210.29,1153.0,1646.0,2793.0,186.0,,0.01898,60.02,20454.0,0.09492,31.12,45.12
2022-04-22 07:00:00+00:00,123.27,3828.0,208.0,1107.5,1692.0,2400.0,185.0,,0.01881,60.0,19700.0,0.09448,30.62,44.23
2022-04-25 07:00:00+00:00,118.51,3931.0,206.35,1007.5,1520.8,2428.0,182.0,,0.018155,58.0,19900.0,0.0931,29.02,42.31
2022-04-26 07:00:00+00:00,125.45,4292.0,225.85,1015.5,1600.8,2499.5,183.5,,0.019125,58.1,20994.0,0.09646,30.18,43.56
2022-04-27 07:00:00+00:00,134.0,4550.0,237.15,1119.5,1748.6,2560.0,186.5,,0.0199,59.8,21272.0,0.09924,32.4,44.7
2022-04-28 07:00:00+00:00,126.5,4381.0,237.53,1085.5,1721.0,2515.0,184.5,,0.019115,58.52,21000.0,0.09736,30.8,44.5
2022-04-29 07:00:00+00:00,130.4,4699.5,240.4,1096.5,1766.6,2636.0,180.5,,0.020095,59.38,21550.0,0.10024,31.14,44.75
2022-05-04 07:00:00+00:00,124.8,4552.0,234.16,1061.0,1699.0,2538.5,179.5,,0.01959,58.8,21352.0,0.09908,31.2,43.8
2022-05-05 07:00:00+00:00,125.47,4675.0,238.6,1051.0,1734.4,2482.0,179.0,,0.019795,58.78,21544.0,0.0998,30.7,42.71
2022-05-06 07:00:00+00:00,124.2,4635.5,240.1,1030.0,1688.0,2424.5,179.0,,0.01948,58.22,21766.0,0.09966,30.1,41.28
2022-05-11 07:00:00+00:00,121.11,4600.0,241.99,1000.0,1677.4,2493.0,179.5,,0.019305,58.0,21330.0,0.09964,29.92,41.3
2022-05-12 07:00:00+00:00,116.6,4362.5,230.56,960.5,1594.0,2343.0,178.0,,0.018555,56.18,21238.0,0.09842,29.32,40.47
2022-05-13 07:00:00+00:00,116.7,4380.0,235.52,964.0,1593.0,2406.5,177.0,,0.01865,57.68,21200.0,0.09898,29.26,40.39
2022-05-16 07:00:00+00:00,119.84,4523.5,244.2,1024.0,1638.2,2393.0,182.0,,0.01898,58.26,21364.0,0.10174,29.52,40.99
2022-05-17 07:00:00+00:00,123.8,4500.0,258.8,1057.5,1701.0,2380.0,181.5,,0.01933,58.6,21348.0,0.1069,30.36,42.0
2022-05-18 07:00:00+00:00,122.33,4483.5,264.84,1086.5,1715.8,2424.5,180.0,,0.0192,62.08,21416.0,0.10544,30.06,42.02
2022-05-19 07:00:00+00:00,122.81,4415.5,266.68,1049.5,1705.0,2368.0,180.0,,0.01917,61.0,21300.0,0.10482,29.56,43.75
